time,run_id,model,features,seed,local_score,public_score,submission,notes
2026-05-01 20:29:36,template_rule_v1,template_rule,"normalized anomaly line templates + earliest strong group",42,0.8891339581,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_template_rule.csv,"5-fold mean; detect=0.9044416624 loc=0.8161923979 type=0.9867757424"
2026-05-01 21:13:15,posterior_template_rule_v2,posterior_template_rule,"normalized lines + typo fixes + posterior anomaly/type counts + earliest group + min span len 3",42,0.9191545054,0.77684,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_posterior_rule.csv,"5-fold mean; detect=0.9735812570 loc=0.8507274480 type=0.9935816939"
2026-05-01 23:08:59,posterior_clause_prefix_rule_v3,posterior_clause_prefix_rule,"whole-line + embedded-clause + clause-prefix posterior matching + conservative semantic normalization",42,0.9541308078,0.85031,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_clause_prefix_rule.csv,"5-fold mean; detect=0.9995416079 loc=0.9106566293 type=0.9967750055"
2026-05-02 00:36:20,posterior_tail_clause_rule_v4,posterior_tail_clause_rule,"whole-line + embedded-clause + clause-prefix + normal-template tail annotation matching",42,0.9552355706,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_tail_clause_rule.csv,"5-fold mean; detect=1.0000000000 loc=0.9114610399 type=0.9985858590"
2026-05-02 01:12:40,tail_clause_abstain_many_v5,posterior_tail_clause_abstain,"v4 model + abstain when three or more strong candidate groups exist",42,0.9568867682,0.85941,work/data_security/system_log_anomaly_detection_challenge/submissions/tail_clause_abstain_many.csv,"5-fold mean; detect=0.9930337968 loc=0.9164092568 type=0.9992202008; test anomaly ratio=0.5972"
2026-05-02 11:46:10,torch_sequence_v1,torch_bigru_sequence,"word embedding + 2-layer BiGRU line sequence tagger + window decoder; 90/10 validation split",42,0.9739887240,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_sequence.csv,"holdout validation; detect=1.0000000000 loc=0.9479774480 type=1.0000000000; trained on 90% rows"
2026-05-02 12:05:30,torch_sequence_full_ensemble_v2,torch_bigru_sequence_ensemble,"two full-data BiGRU sequence taggers with seeds 42/43; averaged log probabilities",42+43,,0.92494,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_sequence_ensemble.csv,"recommended DL submission; threshold=-2.0; test anomaly ratio=0.6428"
2026-05-02 09:27:35,torch_boundary_holdout_v1,torch_bigru_boundary,"BiGRU line tagger with explicit start/end heads; 90/10 validation split",42,0.9791059329,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_boundary_holdout.csv,"holdout validation; detect=1.0000000000 loc=0.9582118659 type=1.0000000000"
2026-05-02 10:12:30,torch_boundary_ensemble3_v2,torch_bigru_boundary_ensemble,"three full-data boundary-aware BiGRU models with seeds 42/43/44; averaged line/start/end log probabilities",42+43+44,,0.93531,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_boundary_ensemble3.csv,"previous best boundary DL submission; threshold=-4.0 decode_boundary_weight=1.2; test anomaly ratio=0.6426"
2026-05-02 13:06:00,torch_hybrid_boundary_holdout_v1,torch_hybrid_char_word_boundary,"char CNN + word average line encoder + 2-layer BiGRU + start/end heads + anomaly-line spelling/semantic augmentation",42,0.9807544832,,work/data_security/system_log_anomaly_detection_challenge/submissions/submission_torch_hybrid_boundary_full.csv,"holdout validation best epoch=4; detect=0.9994906482 loc=0.9616617719 type=1.0000000000"
