binary_id,sid,cwe,class_count,nearest_cwe,nearest_dist,near_same,exact_same_strict,exact_same_loose,exact_same_marker,other_strict,other_loose,has_token,calls,ptr_sig,body_len,insn_count
BIN_1000102,7887,CWE-135,24,CWE-135,1,8,0,0,0,,,False,malloc|exit|wmemset,data:1|funcPtr:1|dataBadBuffer:1,122,31
BIN_1006630,53038,CWE-775,26,CWE-775,1,10,1,3,3,,,False,,data:0,55,15
BIN_1027931,39157,CWE-416,186,CWE-416,1,9,1,1,1,,,True,_znay|wmemset|_zdapv|printwline,,108,29
BIN_1028789,46457,CWE-675,31,CWE-675,2,4,0,0,0,,,True,fopen|fclose|badsink,data:1,77,19
BIN_1031472,46744,CWE-680,142,CWE-680,1,15,1,1,1,,,False,fscanf|malloc|exit|printintline|free,data:0|i:0|intPointer:1,188,50
BIN_1035625,7876,CWE-135,24,CWE-135,1,11,0,0,0,,,False,malloc|exit|wmemset|strlen|calloc|exit|wcscpy|printline|free,i:0|j:0|data:1|dataBadBuffer:1|dataLen:0|dest:1,235,60
BIN_1036896,42532,CWE-588,22,CWE-588,2,9,1,1,1,,,True,printintline,,59,17
BIN_1057451,39125,CWE-416,186,CWE-416,1,10,4,4,4,,,True,_znay|_zdapv|printstructline,,141,34
BIN_1094598,41914,CWE-546,35,CWE-546,2,11,1,1,1,,,False,printline,,30,10
BIN_1098561,35561,CWE-400,193,CWE-400,1,9,0,0,1,,,True,memset|atoi|fopen|exit|fwrite|exit|fclose,count:0|myUnion:0|wsaData:0|wsaDataInit:0|recvResult:0|service:0|connectSocket:0|inputBuffer:0|count:0|i:0|pFile:1|filename:1,639,124
BIN_1105650,46578,CWE-676,9,CWE-676,3,9,2,2,2,,,True,.text$_zstrsicst11char_traitsiceerst13basic_istreamit_t0_es6_ps3_|_zstrsicst11char_traitsiceerst13basic_istreamit_t0_es6_ps3_|printline,,50,15
BIN_1108480,41988,CWE-563,159,CWE-563,1,10,1,6,6,,,False,,data:0,23,8
